id_staff,name
7879,John Lasseter
12891,Joss Whedon
7,Andrew Stanton
12892,Joel Cohen
12893,Alec Sokolow
12894,Bonnie Arnold
12895,Ed Catmull
12896,Ralph Guggenheim
12897,Steve Jobs
8,Lee Unkrich
7883,Ralph Eggleston
1168870,Robert Gordon
1552883,Mary Helen Leasman
1453514,Kim Blanchette
1414182,Marilyn McCoppen
7885,Randy Newman
1429549,Dale E. Grahn
7949,Robin Cooper
12890,Pete Docter
7911,Joe Ranft
1629419,Patsy Bouge
7961,Norm DeCarlo
12905,Ash Brannon
1748707,Roman Figun
4949,Don Davis
1372885,James Flamberg
1739962,Mary Beth Smith
1748513,Rick Mackay
1458006,Susan Bradley
1748557,William Reeves
2216,Gary Rydstrom
12909,Karen Robert Jackson
953331,Chris Montan
7893,Rich Quade
8025,Michael Berenstein
78009,Colin Brady
1748682,Davey Crockett Feiten
1454030,Angie Glocka
1748683,Rex Grignon
1748684,Tom K. Gurney
8029,Jimmy Hayward
1426773,Hal T. Hickel
8035,Karen Kiser
1748688,Anthony B. LaMolinara
587314,Guionne Leroy
7918,Bud Luckey
1748689,Les Major
7892,Glenn McQueen
555795,Mark Oftedal
7882,Jeff Pidgeon
8017,Jeff Pratt
1184140,Steve Rabatich
8049,Roger Rose
1509559,Steve Segal
1748691,Doug Sheppeck
8050,Alan Sperling
8010,Doug Sweetland
8044,David Tart
1454034,Ken Willard
7887,Thomas Porter
1406878,Mark Thomas Henne
1748698,Oren Jacob
1748699,Darwyn Peachey
1748701,Mitch Prater
1748703,Brian M. Rosen
12912,Sharon Calahan
7899,Galyn Susman
12915,William Cone
1748705,Shelley Daniels Lekven
7889,Bob Pauley
1748706,Steve Johnson
1176752,Dan Haskett
1088034,Tom Holloway
1447465,Jean Gillmore
1748709,Desirée Mourad
1748710,Kelly O'Connell
1443471,Sonoko Konishi
1748711,Ann M. Rockwell
1748712,Julie M. McDonald
1589729,Robin Lee
1748716,Tom Freeman
1748717,Ada Cochavi
1336438,Dana Mulligan
1748718,Deirdre Morrison
1748719,Lori Lombardo
1748720,Ellen Devine
1468014,Lauren Beth Strogoff
1425978,Gary Summers
8276,Tim Holland
7069,Pat Jackson
15894,Tom Myers
1414177,J.R. Grubbs
1748724,Susan Sanford
1748725,Susan Popovic
8067,Dan Engstrom
7902,Ruth Lambert
84493,Mickie McGowan
511,Larry J. Franco
876,Jonathan Hensleigh
1729,James Horner
4945,Joe Johnston
4951,Robert Dalva
4952,Nancy Foy
8023,Kyle Balda
9967,James D. Bissell
9184,Scott Kroopf
9196,Ted Field
18389,Robert W. Cort
11371,Thomas E. Ackerman
42356,Chris van Allsburg
42357,William Teitler
56520,Greg Taylor
56521,Jim Strain
26502,Howard Deutch
16837,Mark Steven Johnson
1551320,Jack Keller
2178,Forest Whitaker
5144,Ronald Bass
21968,Ezra Swerdlow
70592,Deborah Schindler
111118,Terry McMillan
1079697,Kenneth Edmonds
1087695,Caron K
37,Alan Silvestri
5506,Elliot Davis
17698,Nancy Meyers
26160,Albert Hackett
56106,Charles Shyer
